frequency_rank,headword,definition,part_of_speech,semantic_group
87,vīta -ae f.,life,Noun: 1st Declension,Life and Being
88,homō hominis m.,human being,Noun: 3rd Declension,People
89,tempus -oris n.,time,Noun: 3rd Declension,Time
90,magis,more,Adverb,Conjunctions/Adverbs
91,prīmus -a -um,first,Adjective: 1st and 2nd Declension,Time
92,ubi,"where, when",Adverb,Place
93,hostis -is m./f.,"stranger, enemy",Noun: 3rd Declension,War and Peace
94,an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs
95,mors mortis f.,death,Noun: 3rd Declension,Life and Being
96,tam,"so, so much",Adverb,Conjunctions/Adverbs
97,eō īre iī/īvī itum,go,Verb: Irregular,Motion
98,arma -ōrum n. pl.,"arms, weapons",Noun: 2nd Declension,War and Peace
99,superus -a -um,"situated above, upper",Adjective: 1st and 2nd Declension,Religion
100,"nisi, nī","if not, unless",Conjunction,Conjunctions/Adverbs
101,vincō vincere vīcī victum,conquer,Verb: 3rd Conjugation -ō,War and Peace
102,pōnō pōnere posuī positum,"put, place; put aside",Verb: 3rd Conjugation -ō,Verbs of Transport
103,dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time
104,sine,without (+ abl.),Preposition,Non-Directional Prepositions
105,tantus -a -um,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth",Adjective: 1st and 2nd Declension,Measurement
106,teneō -ēre -uī tentum,"hold, keep",Verb: 2nd Conjugation,Other Senses
107,causa -ae f.,"cause, reason; causā + preceding genitive, for the sake of",Noun: 1st Declension,Speech/Oratory
108,sequor sequī secūtus sum,follow,Verb: Deponent,Motion
109,crēdō crēdere crēdidī crēditum,believe,Verb: 3rd Conjugation -ō,Education/Knowledge
110,accipiō -cipere -cēpī -ceptum,receive,Verb: 3rd Conjugation -iō,Social Life
111,virtūs -ūtis f.,"valor, manliness, virtue",Noun: 3rd Declension,Personality Traits/Characteristics
112,ante,"before, in front of (adv. and prep. + acc.)",Preposition,Time
