frequency_rank,headword,definition,part_of_speech,semantic_group
370,legiō -ōnis f.,legion,Noun: 3rd Declension,War and Peace
371,ostendō ostendere ostendī ostentum,"show, hold out",Verb: 3rd Conjugation -ō,Other Senses
372,socius -a -um,"friendly, allied; socius -ī m.: partner, comrade",Adjective: 1st and 2nd Declension,Social Life
373,prōsum prodesse profuī,"be of use, do good, help (+ dat.)",Verb: Irregular,Social Life
374,āra -ae f.,altar,Noun: 1st Declension,Religion
375,lūmen luminis n.,light,Noun: 3rd Declension,Vision
376,tegō tegere tēxī tēctum,"cover, conceal",Verb: 3rd Conjugation -ō,Deception
377,turpis -e,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,Other Senses
378,voluptās -ātis f.,"pleasure, enjoyment",Noun: 3rd Declension,Social Life
379,adhūc,"thus far, to this point",Adverb,Place
380,grātia -ae f.,"favor, influence, gratitude",Noun: 1st Declension,Social Life
381,iniūria -ae f.:,"injustice, wrong, affront",Noun: 1st Declension,Justice
382,latus -eris n.,"side, flank",Noun: 3rd Declension,The Body
383,dulcis -e,sweet,Adjective: 3rd Declension,Other Senses
384,postquam,after,Conjunction,Time
385,extrēmus -a -um,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,Geography
386,tēctum -ī n.,"roof; building, house",Noun: 2nd Declension,The House
387,ingenium -ī n.,"disposition, ability, talent",Noun: 2nd Declension,Education/Knowledge
388,pāx pācis f.,peace,Noun: 3rd Declension,War and Peace
389,canō canere cecinī cantum,sing,Verb: 3rd Conjugation -ō,Writing/Poetry
390,iuvō iuvāre iūvī iūtum,"help, assist; please, delight",Verb: 1st Conjugation,Social Life
391,campus -ī m.,"plain, field",Noun: 2nd Declension,Earth and Water
392,claudō claudere clausī clausum,"close, shut",Verb: 3rd Conjugation -ō,The House
393,doceō -ēre -uī doctum,teach,Verb: 2nd Conjugation,Education/Knowledge
394,excipiō -cipere -cēpī -ceptum,take out,Verb: 3rd Conjugation -iō,Verbs of Transport
395,clārus -a -um,"clear, distinguished",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
396,illīc,"at that place, there; illinc: from that place",Adverb,Place
397,procul,at a distance,Adverb,Place
398,sacer sacra sacrum,"holy, sacred",Adjective: 1st and 2nd Declension,Religion
399,mora -ae f.,"delay, hindrance",Noun: 1st Declension,Time
400,longē,"far, far off",Adverb,Measurement
401,super,over (adv. and prep. +acc.),Adverb,Place
402,errō -āre,"go astray, wander",Verb: 1st Conjugation,Travel
403,sēdēs -is f.,"seat, abode, habitation",Noun: 3rd Declension,The House
404,cūr,why?,Adverb,Pronouns/Interrogatives
405,coma -ae f.,"hair, tresses",Noun: 1st Declension,The Body
406,aiō,"say, affirm, say yes; ut āiunt: as they say",Verb: Irregular,Speech/Oratory
407,gaudeō gaudēre gāvīsus sum,rejoice,Verb: 2nd Conjugation,Emotions
408,beātus -a -um,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
409,perveniō -venīre -vēnī -ventum,"arrive, reach",Verb: 4th Conjugation,Travel
410,vērus -a -um,true,Adjective: 1st and 2nd Declension,Speech/Oratory
411,incipiō -cipere -cēpī -ceptum,begin,Verb: 3rd Conjugation -iō,Time
412,parcō parcere pepercī parsum,"spare, be sparing of (+ dat.)",Verb: 3rd Conjugation -ō,War and Peace
413,vestis -is f.,"garment, robe, clothing",Noun: 3rd Declension,Life and Being
414,similis -e,"like, similar",Adjective: 3rd Declension,Personality Traits/Characteristics
415,caedēs -is f.,"killing, slaughter",Noun: 3rd Declension,Violence
416,ōrdō -īnis m.,"order, rank",Noun: 3rd Declension,War and Peace
417,optō -āre,"choose, select",Verb: 1st Conjugation,Personality Traits/Characteristics
418,virgō -inis f.,"maiden, virgin, girl",Noun: 3rd Declension,People
419,legō legere lēgī lēctum,"gather, choose, read",Verb: 3rd Conjugation -ō,Writing/Poetry
420,aura -ae f.,breeze,Noun: 1st Declension,Air and Fire
421,impetus -ūs m.,attack,Noun: 4th Declension,Violence
422,fōrma -ae f.,shape; beauty,Noun: 1st Declension,Other Senses
423,praestō -stāre -stitī -stitum,"excel, exhibit",Verb: 1st Conjugation,Other Senses
424,aequor aequoris n.,"level surface, sea, plain",Noun: 3rd Declension,Earth and Water
425,misceō miscēre miscuī mixtum,mix,Verb: 2nd Conjugation,Earth and Water
426,spatium -ī n.,space,Noun: 2nd Declension,Air and Fire
427,tandem,finally,Adverb,Conjunctions/Adverbs
428,īnferus -a -um,low; īnferior: lower; īnfimus or īmus: lowest,Adjective: 1st and 2nd Declension,Geography
429,metuō metuere metuī,"to fear, to dread",Verb: 3rd Conjugation -ō,Emotions
430,temptō -āre,"try, test",Verb: 1st Conjugation,Making/Doing
431,trānseō -īre -iī -itum,go across,Verb: Irregular,Travel
432,ultimus -a -um,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,Geography
433,addō -dere -didī -ditum,give to,Verb: 3rd Conjugation -ō,Social Life
434,grātus -a -um,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
435,laudō -āre,praise,Verb: 1st Conjugation,Social Life
436,nōndum,not yet,Adverb,Conjunctions/Adverbs
437,impōnō -ere -posuī -positum,"put in, put on, impose, levy upon",Verb: 3rd Conjugation -ō,Measurement
438,somnus -ī m.,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,Life and Being
439,aciēs -ēī f.,edge; line of battle,Noun: 5th Declension,War and Peace
440,rūrsus,"back, again",Adverb,Place
441,cupiō -ere -īvī -ītum,desire,Verb: 3rd Conjugation -iō,Love
442,exspectō -āre,"watch, wait, expect",Verb: 1st Conjugation,Vision
443,compōnō -pōnere posuī positum,"build, construct, arrange",Verb: 3rd Conjugation -ō,Making/Doing
444,laus laudis f.,"praise, glory",Noun: 3rd Declension,Social Life
445,absum abesse āfuī,"be away, absent",Verb: Irregular,Travel
446,ūsus -ūs m.,"use, experience",Noun: 4th Declension,Education/Knowledge
447,velut,"even as, just as",Adverb,Conjunctions/Adverbs
448,comes comitis m./f.,"companion, comrade; attendant, follower",Noun: 3rd Declension,Social Life
449,ob,"against, on account of (+acc)",Preposition,Place
450,studium -ī n.,"eagerness, zeal",Noun: 2nd Declension,Emotions
451,facilis -e,easy,Adjective: 3rd Declension,Personality Traits/Characteristics
452,nūmen -inis n.,"divine will, deity",Noun: 3rd Declension,Religion
453,sapiēns -ntis,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,Education/Knowledge
454,sūmō sūmere sūmpsī sūmptum,take up,Verb: 3rd Conjugation -ō,Motion
455,nōbilis -e,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,Personality Traits/Characteristics
456,quīn,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",Adverb,Conjunctions/Adverbs
457,fleō flēre flēvī flētum,weep,Verb: 2nd Conjugation,Emotions
458,nōlō nōlle nōluī,be unwilling,Verb: Irregular,Emotions
459,plēnus -a -um,full,Adjective: 1st and 2nd Declension,Measurement
460,adversus (-um),"(adv. and prep.) facing, opposite, against, opposed (to)",Adverb,War and Peace
461,nemus nemoris n.,"grove, forest",Noun: 3rd Declension,Animals/Plants
462,cārus -a -um,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
463,dēsum -esse -fuī,be lacking,Verb: Irregular,Business/Money
464,lēgātus -ī m.,"lieutenant, envoy",Noun: 2nd Declension,War and Peace
465,discō -ere didicī,learn,Verb: 3rd Conjugation -ō,Education/Knowledge
466,furor -ōris m.,"rage, fury",Noun: 3rd Declension,Emotions
467,amnis -is m.,"river, torrent",Noun: 3rd Declension,Earth and Water
468,arbor arboris f.,tree,Noun: 3rd Declension,Animals/Plants
469,mox,soon,Adverb,Time
470,eō,"(adv.) there, to that place",Adverb,Place
471,cīvis -is m./f.,citizen,Noun: 3rd Declension,The City
472,occupō -āre,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,War and Peace
473,spectō -āre,"look at, consider",Verb: 1st Conjugation,Vision
474,tergum -ī n.,"back, rear; ā tergō: from the rear",Noun: 2nd Declension,The Body
475,crīmen -inis n.,"verdict, accusation",Noun: 3rd Declension,Justice
476,dōnum -ī n.,"gift, present",Noun: 2nd Declension,Social Life
477,nōtus -a -um,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
478,sinus -ūs m.,"fold of a garment; lap, bay, gulf",Noun: 4th Declension,Earth and Water
479,faciēs -ēī f.,"form, appearance",Noun: 5th Declension,Vision
480,rumpō rumpere rūpī ruptum,"break, rupture",Verb: 3rd Conjugation -ō,Violence
481,membrum -ī n.,"limb, member of the body",Noun: 2nd Declension,The Body
482,umquam,ever,Adverb,Time
483,aspiciō -ere -spēxī -spectum,"look to or at, behold",Verb: 3rd Conjugation -iō,Vision
484,prius or priusquam,before,Adverb,Time
485,templum -ī n.,consecrated ground; temple,Noun: 2nd Declension,Religion
486,āmittō -mittere -mīsī -missum,"let go, send away",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
487,pōscō pōscere popōscī,"demand, claim; inquire into",Verb: 3rd Conjugation -ō,Speech/Oratory
488,perdō -dere -didī -ditum,destroy,Verb: 3rd Conjugation -ō,Violence
489,quamvīs,however you like; although,Adverb,Conjunctions/Adverbs
490,tener -era -erum,tender,Adjective: 1st and 2nd Declension,Other Senses
491,currus -ūs m.,chariot,Noun: 4th Declension,Athletics
492,precor -ārī,"pray, invoke",Verb: Deponent,Religion
493,anima -ae f.,"breath, spirit",Noun: 1st Declension,Life and Being
494,contingō -tingere -tigī -tactum,"touch, be contiguous to",Verb: 3rd Conjugation -ō,Place
495,lībertās -ātis f.,freedom,Noun: 3rd Declension,The City
496,servus -ī m.,slave,Noun: 2nd Declension,The Household
497,soror -ōris f.,sister,Noun: 3rd Declension,The Household
498,fluctus -ūs m,"flood, billow, surf",Noun: 4th Declension,Earth and Water
499,quīppe,"(adv.) indeed, surely",Adverb,Conjunctions/Adverbs
500,exigō -igere -ēgī -āctum,drive out; collect,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
501,fēmina -ae f.,woman,Noun: 1st Declension,People
502,nimius -a -um,"too much, excessive",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
503,fallō fallere fefellī falsum,deceive,Verb: 3rd Conjugation -ō,Deception
504,mīror mīrārī mīrātus sum,"wonder at, marvel at (+ acc.)",Verb: Deponent,Emotions
505,classis -is f.,"class, division, fleet",Noun: 3rd Declension,War and Peace
506,sedeō sedēre sēdī sessum,sit,Verb: 2nd Conjugation,The House
507,singulī -ae -a,one each,Adjective: 1st and 2nd Declension,Measurement
508,mūrus -ī m.,wall,Noun: 2nd Declension,The House
509,noceō nocēre nocuī,harm,Verb: 2nd Conjugation,Violence
510,quoniam,"since, seeing that",Conjunction,Conjunctions/Adverbs
511,fax facis f.,torch,Noun: 3rd Declension,Air and Fire
512,intellegō -legere -lēxī -lēctum:,understand,Verb: 3rd Conjugation -ō,Education/Knowledge
513,iungō iungere iūnxī iūnctum,join,Verb: 3rd Conjugation -ō,Making/Doing
514,afferō afferre attulī allātum,bring to,Verb: Irregular,Verbs of Transport
515,cōgitō -āre,"think, reflect",Verb: 1st Conjugation,Education/Knowledge
516,līmen līminis n.,threshold,Noun: 3rd Declension,The House
517,pūblicus -a -um,"public, belonging to the state",Adjective: 1st and 2nd Declension,The City
518,queror querī questus sum,"complain of, lament",Verb: Deponent,Emotions
519,exemplum -ī n.,"example, sample, copy",Noun: 2nd Declension,Speech/Oratory
520,prex precis f.,"prayers, entreaties",Noun: 3rd Declension,Religion
521,dubitō -āre,"hesitate, doubt",Verb: 1st Conjugation,Education/Knowledge
522,odium -ī n.,hatred,Noun: 2nd Declension,Emotions
523,fundō fundere fūdī fūsum,"pour, scatter",Verb: 3rd Conjugation -ō,Earth and Water
524,fūnus fūneris n.,funeral; death; dead body,Noun: 3rd Declension,Religion
525,nesciō -scīre,"not know, be ignorant",Verb: 4th Conjugation,Education/Knowledge
526,prior prius,"earlier, preceding",Adjective: 3rd Declension,Time
527,ūsque,up to; continuously,Adverb,Time
528,dubius -a -um,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",Adjective: 1st and 2nd Declension,Deception
529,tendō tendere tetendī tentum,"stretch, extend, direct (one’s steps or course)",Verb: 3rd Conjugation -ō,Travel
530,pecūnia -ae f.,money,Noun: 1st Declension,Business/Money
531,quemadmodum,"in what manner, how",Adverb,Pronouns/Interrogatives
532,spargō spargere sparsī sparsum,scatter,Verb: 3rd Conjugation -ō,Earth and Water
533,trēs tria,three,Adjective: Numeral,Measurement
534,tangō tangere tetigī tāctum,touch,Verb: 3rd Conjugation -ō,Other Senses
535,respondeō -spondēre -spondī -spōnsum,answer,Verb: 2nd Conjugation,Speech/Oratory
536,timor -ōris m.,fear,Noun: 3rd Declension,Emotions
537,properō -āre,"hasten, speed",Verb: 1st Conjugation,Motion
538,subeō -īre -iī -itum,go under; endure,Verb: Irregular,Motion
539,valeō valēre valuī,"be strong, excel, be valid, prevail; valē: farewell!",Verb: 2nd Conjugation,Social Life
540,condō -dere -didī -ditum,"build, found; store up; hide, conceal",Verb: 3rd Conjugation -ō,The City
541,nefās n. indecl.,"impiety, wickedness",Noun: Indeclinable,Justice
542,quondam,"formerly, once",Adverb,Time
543,auxilium -ī n.,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,War and Peace
544,dēserō -ere dēseruī dēsertum,"leave, desert, abandon",Verb: 3rd Conjugation -ō,Motion
545,nūdus -a -um,"naked, bare",Adjective: 1st and 2nd Declension,The Body
546,auctor -ōris m.,"originator, founder",Noun: 3rd Declension,Writing/Poetry
547,animal -ālis n.,"a living being, an animal",Noun: 3rd Declension,Animals/Plants
548,decus decoris n.,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,Personality Traits/Characteristics
549,salūs -ūtis f.,"health, safety",Noun: 3rd Declension,Life and Being
550,pateō patēre patuī,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,Geography
551,rogō -āre,ask,Verb: 1st Conjugation,Speech/Oratory
552,uxor uxōris f.,wife,Noun: 3rd Declension,The Household
553,abeō -īre -iī -itum,go away,Verb: Irregular,Motion
554,regō regere rēxī rēctum,"guide, rule",Verb: 3rd Conjugation -ō,The City
555,adeō,"(adv.) to such a degree, so",Adverb,Conjunctions/Adverbs
556,auferō auferre abstulī ablātum,take away,Verb: Irregular,Verbs of Transport
557,quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,Pronouns/Interrogatives
558,senex -is m.,"old man, elder; senior, older",Noun: 3rd Declension,People
559,frōns frontis f.,"forehead, brow; front",Noun: 3rd Declension,The Body
560,propter,because of (+ acc.),Preposition,Non-Directional Prepositions
561,rēgius -a -um,"kingly, royal",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
562,currō currere cucurrī cursum,run,Verb: 3rd Conjugation -ō,Athletics
563,pellō pellere pepulī pulsum,"strike, beat, push, drive",Verb: 3rd Conjugation -ō,Violence
564,dīves dīvitis,"rich (poet. dīs, dītis)",Adjective: 3rd Declension,Business/Money
565,iūdicō -āre,"judge, decide",Verb: 1st Conjugation,Justice
566,pecus -oris n.,"cattle, sheep",Noun: 3rd Declension,Animals/Plants
567,potēns potentis,"able, powerful",Adjective: 3rd Declension,Personality Traits/Characteristics
568,scrībō scrībere scrīpsī scrīptum,write,Verb: 3rd Conjugation -ō,Writing/Poetry
569,pulcher -chra -chrum,beautiful,Adjective: 1st and 2nd Declension,Vision
570,surgō surgere surrēxī surrēctum,rise,Verb: 3rd Conjugation -ō,Earth and Water
571,cēterum,"for the rest, in addition, however that may be",Adverb,Pronouns/Interrogatives
572,careō -ēre -uī,lack (+ abl.),Verb: 2nd Conjugation,Business/Money
573,efficiō -ficere -fēcī -fectum,"bring about, complete; render (+ ut + subj.)",Verb: 3rd Conjugation -iō,Making/Doing
574,ōlim,"formerly, at that time",Adverb,Time
575,sermō -ōnis m.,"conversation, discourse",Noun: 3rd Declension,Speech/Oratory
576,exerceō -ercēre -ercuī -ercitum,"train, exercise, carry on",Verb: 2nd Conjugation,Athletics
577,gradus -ūs m.,"step, pace; grade, rank",Noun: 4th Declension,War and Peace
578,agitō -āre,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing
579,forte,by chance,Adverb,Religion
580,honestus -a -um,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
581,moror morārī morātus sum,delay,Verb: Deponent,Time
582,praesidium -ī n.,"garrison, protection",Noun: 2nd Declension,War and Peace
583,sonō sonāre sonuī sonitum,"sound, resound",Verb: 1st Conjugation,Other Senses
584,praebeō -ēre -uī -itum,"furnish, supply, render",Verb: 2nd Conjugation,Verbs of Transport
585,regiō -ōnis f.,"boundary, region",Noun: 3rd Declension,Geography
586,sententia -ae f.,"opinion, judgment",Noun: 1st Declension,Education/Knowledge
587,ācer ācris ācre,"sharp, piercing",Adjective: 3rd Declension,Other Senses
588,suprā,"above, beyond (adv. and prep. +acc.)",Preposition,Place
589,brevis -e,"short, shallow, brief",Adjective: 3rd Declension,Measurement
590,citus -a -um,swift; citō swiftly,Adjective: 1st and 2nd Declension,Time
591,cornu -ūs n.,horn,Noun: 4th Declension,Animals/Plants
592,ingrātus -a -um:,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
593,moenia -ium n. pl.,"walls, fortifications",Noun: 3rd Declension,The City
594,vinculum -ī n.,"bond, fetter, tie",Noun: 2nd Declension,War and Peace
595,adeō -īre -iī -itum,go to,Verb: Irregular,Motion
596,cēterus -a -um,"the other, the others, the rest",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
597,exeō -īre -iī -itum,go forth,Verb: Irregular,Motion
598,mālō mālle māluī,prefer,Verb: Irregular,Emotions
599,speciēs -ēī f.,"aspect, appearance",Noun: 5th Declension,Vision
600,ultrā,"beyond, further (adv. and prep. + acc.)",Preposition,Place
601,certē,"certainly, surely",Adverb,Measurement
602,imperō -āre,"command, control",Verb: 1st Conjugation,War and Peace
603,male,(adv.) badly,Adverb,Personality Traits/Characteristics
604,prohibeō -ēre -uī -itum,"restrain, keep away",Verb: 2nd Conjugation,Verbs of Compelling/Directing
605,clāmor -ōris m.,"outcry, shout",Noun: 3rd Declension,Speech/Oratory
606,dōnō -āre,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life
607,officium -ī n.,"service, duty",Noun: 2nd Declension,The City
608,committō -mittere -mīsī -missum,"join, entrust to (+ dat.); perform, do",Verb: 3rd Conjugation -ō,Social Life
609,crēscō crēscere crēvī crētum,"grow, increase",Verb: 3rd Conjugation -ō,Animals/Plants
610,aequus -a -um,equal,Adjective: 1st and 2nd Declension,Justice
611,factum -ī n.,"deed, accomplishment",Noun: 2nd Declension,Making/Doing
612,caedō caedere cecīdī caesum,"strike, kill, cut down",Verb: 3rd Conjugation -ō,Violence
613,exīstimō -āre,"think, believe",Verb: 1st Conjugation,Education/Knowledge
614,accēdō -cēdere -cessī -cessum,approach,Verb: 3rd Conjugation -ō,Motion
615,contemnō -temnere -tempsī -temptum,"despise, scorn, disdain",Verb: 3rd Conjugation -ō,Emotions
616,pudor pudōris m.,"sense of shame, modesty, propriety",Noun: 3rd Declension,Personality Traits/Characteristics
617,antīquus -a -um,"ancient, old-time, former",Adjective: 1st and 2nd Declension,Lengths of Time
618,ārdeō ārdēre ārsī ārsum,"blaze, glow; be eager",Verb: 2nd Conjugation,Air and Fire
619,ibi,there,Adverb,Place
620,prōvincia -ae f.,province; official duty,Noun: 1st Declension,The City
621,quandō,when?; since; sī quandō: if ever,Adverb,Pronouns/Interrogatives
622,custōs custōdis m.,guardian,Noun: 3rd Declension,The Household
623,supersum -esse -fuī,"remain, survive; be superfluous (to)",Verb: Irregular,Place
624,dēsinō -sinere -siī -situm,"leave off, cease",Verb: 3rd Conjugation -ō,Motion
625,fessus -a -um,"weary, tired",Adjective: 1st and 2nd Declension,Life and Being
626,praeda -ae f.,"booty, prey",Noun: 1st Declension,War and Peace
627,memoria -ae f.,"recollection, memory",Noun: 1st Declension,Education/Knowledge
628,dīvidō -ere dīvīsī dīvīsum,"divide, separate",Verb: 3rd Conjugation -ō,Making/Doing
629,pretium -ī n.,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,Business/Money
630,pontus -ī m.,"the open sea, the deep",Noun: 2nd Declension,Earth and Water
631,varius -a -um,"changing, varied, various",Adjective: 1st and 2nd Declension,Other Senses
632,vehō vehere vēxī vectum,"carry; vehor vehī vectus sum: travel, ride",Verb: 3rd Conjugation -ō,Travel
633,falsus -a -um,"deceptive, false",Adjective: 1st and 2nd Declension,Deception
634,niger nigra nigrum,black,Adjective: 1st and 2nd Declension,Vision
635,oppidum -ī n.,town,Noun: 2nd Declension,The City
636,pondus ponderis n.,weight,Noun: 3rd Declension,Measurement
637,arvum -ī n.,"ploughed land, field",Noun: 2nd Declension,Animals/Plants
638,arx arcis f.,"citadel, castle; summit",Noun: 3rd Declension,The City
639,sors sortis f.,"lot, fate, destiny; oracle",Noun: 3rd Declension,Religion
640,vīnum -ī n.,"vine, wine",Noun: 2nd Declension,Animals/Plants
641,dīversus -a -um,"different, diverse",Adjective: 1st and 2nd Declension,Other Senses
642,orior orīrī ortus sum,"arise, begin",Verb: Deponent,Time
643,ecce,behold!,Adverb,Vision
644,quamquam,"however, although",Conjunction,Conjunctions/Adverbs
645,cōnferō cōnferre contulī collātum,"collect, bring to",Verb: Irregular,Verbs of Transport
646,facinus facinoris n.,"deed, crime",Noun: 3rd Declension,Justice
647,retineō -tinēre -tinuī -tentum,"hold back, keep",Verb: 2nd Conjugation,Verbs of Compelling/Directing
648,spērō -āre,to hope,Verb: 1st Conjugation,Emotions
649,plēbs plēbis f.,the common people,Noun: 3rd Declension,The City
650,pūgna -ae f.,fist-fight; battle,Noun: 1st Declension,Violence
651,repetō -petere -petīvī -petītum,"demand, exact; revisit; call to mind, recollect; repeat",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
652,cōnstituō -stituere -stituī -stitūtum,"establish, put together",Verb: 3rd Conjugation -ō,Making/Doing
653,dēfendō -fendere -fendī -fēnsum,"defend, ward off",Verb: 3rd Conjugation -ō,War and Peace
654,marītus -ī m.,husband,Noun: 2nd Declension,The Household
655,cernō cernere crēvī crētum,"discern, separate",Verb: 3rd Conjugation -ō,Education/Knowledge
656,superbus -a -um,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
657,adversus -a -um,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,War and Peace
658,morbus -ī m.,"sickness, disease",Noun: 2nd Declension,The Body
659,sānctus -a -um,"sacred, inviolable",Adjective: 1st and 2nd Declension,Religion
660,commūnis -e,"common, general",Adjective: 3rd Declension,The City
661,dēdūcō -dūcere -dūxī -ductum,"launch, lead away",Verb: 3rd Conjugation -ō,Travel
662,rīpa -ae f.,bank of a river,Noun: 1st Declension,Earth and Water
663,concēdō -cēdere -cessī -cessum,"yield, withdraw",Verb: 3rd Conjugation -ō,War and Peace
664,hōra -ae f.,hour,Noun: 1st Declension,Lengths of Time
665,vetō -āre vetuī vetītum,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing
666,cohors cohortis f.,"cohort, band, troop",Noun: 3rd Declension,War and Peace
667,gīgnō gīgnere genuī genitum,"beget, bear, bring forth",Verb: 3rd Conjugation -ō,Life and Being
668,superō -āre,"overcome, surpass, defeat",Verb: 1st Conjugation,War and Peace
669,maestus -a -um,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions
670,meminī meminisse,"remember, recollect",Verb: Irregular,Education/Knowledge
671,impleō -ēre -plēvī -plētum,"fill in, fill up",Verb: 2nd Conjugation,Earth and Water
672,māgnitūdō -inis f.,"greatness, size",Noun: 3rd Declension,Measurement
673,vacuus -a -um,empty,Adjective: 1st and 2nd Declension,Measurement
674,vagus -a -um,"wandering, shifting",Adjective: 1st and 2nd Declension,Travel
675,vulgus -ī n. and m.,the common people,Noun: 2nd Declension,The City
676,deficiō -ficere -fēcī -fectum,"fail, give out; revolt from",Verb: 3rd Conjugation -iō,War and Peace
677,occurrō -currere -cucurrī -cursum,run to meet; come into one’s mind,Verb: 3rd Conjugation -ō,Education/Knowledge
678,statuō -ere -uī -ūtum,"set up, determine",Verb: 3rd Conjugation -ō,Justice
679,ideō,for this reason,Adverb,Conjunctions/Adverbs
680,praemium -ī n.,"bounty, reward",Noun: 2nd Declension,Business/Money
681,praetereā,"besides, moreover",Adverb,Conjunctions/Adverbs
682,tertius -a -um,third,Adjective: 1st and 2nd Declension,Measurement
683,supplicium -ī n.,"punishment, penalty",Noun: 2nd Declension,Justice
684,vātēs -is m.,"poet, bard",Noun: 3rd Declension,Writing/Poetry
685,astrum -ī n.,star; constellation,Noun: 2nd Declension,Air and Fire
686,undique,"from all sides, on all sides",Adverb,Place
687,canis -is m./f.,dog,Noun: 3rd Declension,Animals/Plants
688,ēdō ēdere ēdidī ēditum,"put forth, state, explain",Verb: 3rd Conjugation -ō,Speech/Oratory
689,fateor fatērī fassus sum,"admit, confess; profess, declare; assent, say yes",Verb: Deponent,Justice
690,amīcitia -ae f.,friendship,Noun: 1st Declension,Social Life
691,aureus -a -um,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money
692,candidus -a -um,"white, fair",Adjective: 1st and 2nd Declension,Vision
693,interim,meanwhile,Adverb,Time
694,frūstrā,in vain,Adverb,Conjunctions/Adverbs
695,lateō latēre latuī,"lie hidden, be hidden",Verb: 2nd Conjugation,Deception
696,os ossis n.,bone,Noun: 3rd Declension,The Body
697,sēcūrus -a -um,"free from care, tranquil; careless",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
698,conveniō -venīre -vēnī -ventum,"assemble, meet; agree",Verb: 4th Conjugation,Social Life
699,interficiō -ficere -fēcī -fectum,kill,Verb: 3rd Conjugation -iō,Violence
700,appellō -pellāre,"call, address, name",Verb: 1st Conjugation,Social Life
701,dolus -ī m.,"artifice, device, trick",Noun: 2nd Declension,Deception
702,permittō -mittere -mīsī -missum,"yield, allow, permit",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
703,spīritus -ūs m.,"breath, life, spirit",Noun: 4th Declension,Life and Being
704,intrā,within (+ acc.),Preposition,Place
705,terreō terrēre terruī territum,"terrify, frighten",Verb: 2nd Conjugation,Emotions
706,fōns fontis m.,"spring, fountain",Noun: 3rd Declension,Earth and Water
707,invidia -ae f.,"envy, jealousy, hatred",Noun: 1st Declension,Emotions
708,pugnō -āre,fight,Verb: 1st Conjugation,Violence
709,augeō augēre auxī auctum,increase,Verb: 2nd Conjugation,Making/Doing
710,littera -ae f.,"letter, (pl.) literature",Noun: 1st Declension,Writing/Poetry
711,moneō monēre monuī monitum,"warn, advise",Verb: 2nd Conjugation,Speech/Oratory
712,dīvitiae -ārum f. pl.,"riches, wealth",Noun: 1st Declension,Business/Money
713,experior -perīrī -pertus sum,"try thoroughly, test, experience",Verb: Deponent,Education/Knowledge
714,superī -ōrum m. pl.,"those above, i.e. the gods",Noun: 2nd Declension,Religion
715,ōtium -ī n.,leisure,Noun: 2nd Declension,Social Life
716,vestīgium -ī n.,"footstep, footprint, track",Noun: 2nd Declension,Travel
717,sinō sinere sīvī situm,"allow, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
718,decet decēre decuīt,"it is right, proper, fitting (+ acc. + infin.)",Verb: Impersonal,Personality Traits/Characteristics
719,effundō -fundere -fūdī -fūsum,pour out,Verb: 3rd Conjugation -ō,Earth and Water
720,prōmittō -mittere -mīsī -missum,"send forth, offer",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
